"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"44","k__unclassified-s__Changjiang tombus-like virus 10",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"45","k__unclassified-s__Halovirus HHTV-2",2.21566962822041,-0.302769573971158,0.242436449862879,-1.2488616053502,0.211715696745747,0.996893775111712,FALSE,"kingdom"
"46","k__unclassified-s__Hubei tombus-like virus 8",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"47","k__unclassified-s__Leptopilina boulardi filamentous virus",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"48","k__unclassified-s__Mollivirus sibericum",3.5536977972345,1.15033459096702,0.328562548195801,3.50111294571985,0.000463319439936693,0.0111196665584806,TRUE,"kingdom"
"49","p__Acidobacteria",14.0245384980754,-0.0204601396673211,0.093692308432883,-0.21837587321245,0.827136262302234,0.998984751422851,FALSE,"phylum"
"50","p__Actinobacteria",1347.22277534489,-0.126894531876528,0.0649610037785154,-1.95339549107299,0.0507727501031457,0.456954750928312,FALSE,"phylum"
"51","p__Apicomplexa",1444.68074077377,-0.859469342494413,0.302583786457736,-2.84043422337985,0.00450521629004395,0.0608204199155934,FALSE,"phylum"
"52","p__Aquificae",4.00315882200333,0.000313410588714717,0.174567993602195,0.00179534966432,0.998567518991144,0.998984751422851,FALSE,"phylum"
"53","p__Armatimonadetes",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"54","p__Artverviricota",15.2079369899333,0.214461972474869,0.120129847130538,1.78525135590846,0.0742205552305551,0.572558568921425,FALSE,"phylum"
"55","p__Ascomycota",1351.34250771756,-2.26580739398777,0.390876828682084,-5.79672988451982,6.7620471815689e-09,3.65150547804721e-07,TRUE,"phylum"
"56","p__Bacteroidetes",359.264268200942,-0.0581372147619134,0.057065640338546,-1.01877792691031,0.30830840713641,0.998984751422851,FALSE,"phylum"
"57","p__Basidiomycota",6.41403756999268,-0.0631827303123516,0.367372468075975,-0.17198548014024,0.863448944077874,0.998984751422851,FALSE,"phylum"
"58","p__Candidatus",16.0831513686968,0.00671596907998782,0.0875391942166235,0.0767195670475165,0.938846638164055,0.998984751422851,FALSE,"phylum"
"59","p__Chlamydiae",13.0239956978407,0.0157406809853358,0.106782731764974,0.147408487544415,0.88280960661556,0.998984751422851,FALSE,"phylum"
"60","p__Chlorobi",3.98894121040628,-0.00896665938975576,0.174827529092975,-0.0512886010359799,0.95909555120641,0.998984751422851,FALSE,"phylum"
"61","p__Chloroflexi",25.8335826146782,-0.0246564004142702,0.144449012088279,-0.170692759042212,0.864465356717323,0.998984751422851,FALSE,"phylum"
"62","p__Chrysiogenetes",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"63","p__Coprothermobacterota",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"64","p__Cossaviricota",10.0924040972619,0.0223390084112569,0.110450147032333,0.202254220673127,0.83971798692255,0.998984751422851,FALSE,"phylum"
"65","p__Crenarchaeota",10.1626409057585,0.0242405964572165,0.11020468174822,0.219959770063108,0.8259024862195,0.998984751422851,FALSE,"phylum"
"66","p__Cyanobacteria",72.7464527728402,0.02074553032458,0.0415836405199134,0.498886823404638,0.617859117227097,0.998984751422851,FALSE,"phylum"
"67","p__Deferribacteres",3.98894121040628,-0.00896665938975576,0.174827529092975,-0.0512886010359799,0.95909555120641,0.998984751422851,FALSE,"phylum"
"68","p__Deinococcus",18.2953387304418,0.0183451294292145,0.0824261806264963,0.222564351396349,0.823874583989602,0.998984751422851,FALSE,"phylum"
"69","p__Elusimicrobia",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"70","p__Euglenozoa",9.21436102793333,-0.258448383114648,0.406840863086164,-0.635256697555258,0.525261010471301,0.998984751422851,FALSE,"phylum"
"71","p__Euryarchaeota",36.168785058907,0.0196455021250283,0.0586436643694177,0.334997861001218,0.737626699763772,0.998984751422851,FALSE,"phylum"
"72","p__Fibrobacteres",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"73","p__Firmicutes",17180.7761514705,-0.264393659677783,0.202279006474524,-1.30707414617978,0.191187530874774,0.998984751422851,FALSE,"phylum"
"74","p__Fusobacteria",73.7323726113187,0.565582582234291,0.191697086434682,2.9503973834626,0.00317365448866198,0.0571257807959156,FALSE,"phylum"
"75","p__Gemmatimonadetes",5.99052062140795,-0.00586680974798654,0.142872009357125,-0.0410633949531835,0.967245356571041,0.998984751422851,FALSE,"phylum"
"76","p__Ignavibacteriae",4.00315882200333,0.000313410588714717,0.174567993602195,0.00179534966432,0.998567518991144,0.998984751422851,FALSE,"phylum"
"77","p__Kitrinoviricota",6.004738233005,0.000313407189454686,0.14273048877757,0.00219579707278307,0.998248008824849,0.998984751422851,FALSE,"phylum"
"78","p__Microsporidia",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"79","p__Negarnaviricota",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"80","p__Nitrospirae",4.00315882200333,0.000313410588714717,0.174567993602195,0.00179534966432,0.998567518991144,0.998984751422851,FALSE,"phylum"
"81","p__Nucleocytoviricota",8.11899370034469,-0.0440796849805212,0.122802211273708,-0.358948625788782,0.719633522167312,0.998984751422851,FALSE,"phylum"
"82","p__Peploviricota",12.4460961843199,0.0662776398934612,0.102471951567794,0.646788110106525,0.517769088571208,0.998984751422851,FALSE,"phylum"
"83","p__Pisuviricota",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"84","p__Planctomycetes",72.8864160681578,0.16208907242802,0.0967641070598774,1.67509500529695,0.0939155927907043,0.633930251337254,FALSE,"phylum"
"85","p__Preplasmiviricota",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"86","p__Proteobacteria",2642.00476043125,0.102154912398059,0.108221094553793,0.943946398059027,0.345197040282315,0.998984751422851,FALSE,"phylum"
"87","p__Spirochaetes",72.9418886333776,0.0447236964916273,0.0513646113522681,0.87071030645796,0.383912349587078,0.998984751422851,FALSE,"phylum"
"88","p__Synergistetes",8.0202522008946,-0.0257713800615892,0.123605575455443,-0.208496906119572,0.834840998119584,0.998984751422851,FALSE,"phylum"
"89","p__Tenericutes",26.0205323430217,0.000313394447246241,0.0688896422628943,0.00454922448356279,0.996370256540802,0.998984751422851,FALSE,"phylum"
"90","p__Thaumarchaeota",14.5466255349693,-0.0665838882214475,0.0922134359953293,-0.72206276127505,0.470255891803883,0.998984751422851,FALSE,"phylum"
"91","p__Thermotogae",10.0925540246522,-0.0264924904218569,0.110479325771465,-0.239795909658777,0.810488478092744,0.998984751422851,FALSE,"phylum"
"92","p__unclassified-c__Candidatus",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"93","p__unclassified-c__Naldaviricetes",21.1707075077443,-0.0540668402342902,0.0778225629193854,-0.694745048300411,0.487215091303097,0.998984751422851,FALSE,"phylum"
"94","p__unclassified-f__Candidatus",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"95","p__unclassified-g__Pandoravirus",10.1205731113464,-0.0353096547031099,0.110085973479684,-0.320746173077412,0.748402753383222,0.998984751422851,FALSE,"phylum"
"96","p__unclassified-s__Changjiang tombus-like virus 10",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"97","p__unclassified-s__Halovirus HHTV-2",2.21284701663547,-0.303445705033747,0.243886531159135,-1.2442085407158,0.213422821229348,0.998984751422851,FALSE,"phylum"
"98","p__unclassified-s__Hubei tombus-like virus 8",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"99","p__unclassified-s__Leptopilina boulardi filamentous virus",2.00157941100167,0.000313408499536608,0.246307890653318,0.00127242573798715,0.998984751422851,0.998984751422851,FALSE,"phylum"
"100","p__unclassified-s__Mollivirus sibericum",3.55087518564955,1.15055065973352,0.329654686831641,3.49016927619512,0.000482714680180404,0.0130332963648709,TRUE,"phylum"
"101","p__Uroviricota",4266.34213728803,1.08306650916273,0.465490289924833,2.32672202321905,0.0199800649232748,0.215784701171368,FALSE,"phylum"
"102","p__Verrucomicrobia",22.4677946916613,0.064153722442067,0.0746912517739802,0.858918828087119,0.390385300962418,0.998984751422851,FALSE,"phylum"
"103","c__Acidimicrobiia",4.00246890831621,0.000187585578087335,0.173928188875048,0.00107852314970116,0.999139463197216,0.999389621987248,FALSE,"class"
"104","c__Acidobacteriia",8.01880198454776,-0.0258989699233451,0.12326745435272,-0.210103875831144,0.833586600520759,0.999389621987248,FALSE,"class"
"105","c__Aconoidasida",1412.02617120055,-0.862084618112833,0.328913473203598,-2.62100731148584,0.00876703817018628,0.315613374126706,FALSE,"class"
"106","c__Actinomycetia",1298.82859521941,-0.130552158960816,0.0667578226401882,-1.95560840359439,0.0505113021840392,0.821771756117899,FALSE,"class"
"107","c__Alphaproteobacteria",461.552548969304,-0.0479634956792048,0.0355365446286055,-1.34969497401827,0.177113845184774,0.999389621987248,FALSE,"class"
"108","c__Alsuviricetes",4.00246890831621,0.000187585578087335,0.173928188875048,0.00107852314970116,0.999139463197216,0.999389621987248,FALSE,"class"
"109","c__Anaerolineae",9.10355211700598,0.256977658464395,0.173079024008976,1.48474178159838,0.137612239210398,0.999389621987248,FALSE,"class"
"110","c__Aquificae",4.00246890831621,0.000187585578087335,0.173928188875048,0.00107852314970116,0.999139463197216,0.999389621987248,FALSE,"class"
"111","c__Archaeoglobi",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"112","c__Ardenticatenia",3.36831915065812,0.678093239538554,0.361760823992318,1.87442419014656,0.0608719819346591,0.821771756117899,FALSE,"class"
"113","c__Bacilli",16845.1175484691,-0.269012565870611,0.208900753002882,-1.28775297361853,0.197831966929173,0.999389621987248,FALSE,"class"
"114","c__Bacteroidia",126.306381884329,-0.00456128247336289,0.11324680949065,-0.0402773596349262,0.967872003523268,0.999389621987248,FALSE,"class"
"115","c__Betaproteobacteria",424.471382725365,-0.00542154155405798,0.0793661110302217,-0.0683105356137901,0.945538437514242,0.999389621987248,FALSE,"class"
"116","c__Blastocatellia",1.98713857157696,-0.0184281353469486,0.245924728499833,-0.0749340477444553,0.940267186518152,0.999389621987248,FALSE,"class"
"117","c__Caldilineae",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"118","c__Candidatus",6.00370336247432,0.000187583847544666,0.142248943126933,0.00131870116867778,0.998947829002149,0.999389621987248,FALSE,"class"
"119","c__Caudoviricetes",4264.75193862562,1.08178209396183,0.465951977942648,2.3216600533349,0.020251247510462,0.546783682782475,FALSE,"class"
"120","c__Chitinophagia",27.2437724309439,0.119011393660227,0.0895575166272683,1.32888224397226,0.183886822722836,0.999389621987248,FALSE,"class"
"121","c__Chlamydiia",13.0219676222165,0.0156192865875357,0.106335875290725,0.146886331116682,0.88322174108127,0.999389621987248,FALSE,"class"
"122","c__Chlorobia",3.98837302573507,-0.00909025457079154,0.174184564486614,-0.052187486288374,0.958379303841967,0.999389621987248,FALSE,"class"
"123","c__Chloroflexia",3.72038770687376,0.0219673248949873,0.180572077142838,0.121654052180009,0.903173003907811,0.999389621987248,FALSE,"class"
"124","c__Chrysiogenetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"125","c__Chthonomonadetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"126","c__Clostridia",256.1866780185,-0.0486307210180321,0.0680330628674811,-0.714810108031707,0.474726388401406,0.999389621987248,FALSE,"class"
"127","c__Conexivisphaeria",2.43886074458318,-0.368723072599284,0.235883723084915,-1.56315606595097,0.118015891001558,0.999389621987248,FALSE,"class"
"128","c__Conoidasida",8.56498903019431,-0.313722720177894,0.432684716431764,-0.725060785056337,0.468414740690413,0.999389621987248,FALSE,"class"
"129","c__Coprothermobacteria",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"130","c__Coriobacteriia",30.1027959713709,-0.0169786607386676,0.0637977534524644,-0.266132580221941,0.790137104101601,0.999389621987248,FALSE,"class"
"131","c__Cytophagia",69.0702693281623,-0.0284387090249509,0.0425434388176756,-0.668462865609618,0.503838178193095,0.999389621987248,FALSE,"class"
"132","c__Deferribacteres",3.98837302573507,-0.00909025457079154,0.174184564486614,-0.052187486288374,0.958379303841967,0.999389621987248,FALSE,"class"
"133","c__Dehalococcoidia",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"134","c__Deinococci",18.2926361678854,0.0182194622415383,0.0820816678244889,0.22196749559836,0.824339186908389,0.999389621987248,FALSE,"class"
"135","c__Deltaproteobacteria",65.236772614608,0.0232557623174316,0.0437212840269774,0.531909408312026,0.594788740774798,0.999389621987248,FALSE,"class"
"136","c__Dothideomycetes",9.82371008951978,-0.495699872267305,0.386101197196872,-1.28385997211645,0.199190955019443,0.999389621987248,FALSE,"class"
"137","c__Ellioviricetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"138","c__Elusimicrobia",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"139","c__Epsilonproteobacteria",42.7718046380101,-0.00195050939486053,0.0558116142850268,-0.0349480913578201,0.972121132656024,0.999389621987248,FALSE,"class"
"140","c__Erysipelotrichia",22.5769592774293,-0.0722933878205572,0.0760373726563668,-0.950761254564519,0.341725585255719,0.999389621987248,FALSE,"class"
"141","c__Eurotiomycetes",131.868649515682,-0.61535378853303,0.597947330899444,-1.02911035259143,0.303427821906209,0.999389621987248,FALSE,"class"
"142","c__Fibrobacteria",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"143","c__Flasuviricetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"144","c__Flavobacteriia",95.2664204364586,-0.222077103217033,0.0995261752352835,-2.23134369116501,0.0256583716627782,0.554220827916009,FALSE,"class"
"145","c__Fusobacteriia",73.7167735342021,0.565395961058094,0.19194831402841,2.94556356965142,0.00322366897717007,0.174078124767184,FALSE,"class"
"146","c__Gammaproteobacteria",1669.35159216784,-0.121105641654999,0.1684912501673,-0.718765167536884,0.47228562290466,0.999389621987248,FALSE,"class"
"147","c__Gemmatimonadetes",5.98960747989317,-0.00599101153874326,0.142389197188858,-0.0420749021486306,0.966438987632448,0.999389621987248,FALSE,"class"
"148","c__Gloeobacteria",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"149","c__Halobacteria",27.932557985982,0.00399741327492414,0.066267153265914,0.0603226949991874,0.951898626861796,0.999389621987248,FALSE,"class"
"150","c__Herviviricetes",12.4440264432585,0.0661536691552274,0.101871441832008,0.649383850523276,0.516090299796626,0.999389621987248,FALSE,"class"
"151","c__Holophagae",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"152","c__Hydrogenophilalia",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"153","c__Ignavibacteria",4.00246890831621,0.000187585578087335,0.173928188875048,0.00107852314970116,0.999139463197216,0.999389621987248,FALSE,"class"
"154","c__Kinetoplastea",9.21415782202475,-0.258898059432338,0.407903224595202,-0.634704615756018,0.525621082699402,0.999389621987248,FALSE,"class"
"155","c__Megaviricetes",8.11761387297045,-0.0442058539758909,0.12238212456038,-0.361211689490492,0.717941204285155,0.999389621987248,FALSE,"class"
"156","c__Methanobacteria",2.22658656683416,0.269353843675852,0.24819184514469,1.08526468111321,0.277804443965976,0.999389621987248,FALSE,"class"
"157","c__Methanococci",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"158","c__Methylacidiphilae",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"159","c__Mollicutes",24.0148134498973,0.000187574636614886,0.0714125044408166,0.00262663574234873,0.997904250304165,0.999389621987248,FALSE,"class"
"160","c__Naldaviricetes",21.1679166829686,-0.0541930538634571,0.0773201334547054,-0.700891882128007,0.483370490947127,0.999389621987248,FALSE,"class"
"161","c__Negativicutes",32.6815104880707,0.0333521286931999,0.0627265959055802,0.531706339419463,0.594929400564033,0.999389621987248,FALSE,"class"
"162","c__Nitriliruptoria",3.81933966894134,0.00322473868184214,0.178538108045634,0.0180619068788267,0.985589466897644,0.999389621987248,FALSE,"class"
"163","c__Nitrososphaeria",8.10360347703489,-0.00837514739193192,0.122565959134249,-0.0683317574560683,0.945521544406628,0.999389621987248,FALSE,"class"
"164","c__Nitrospira",4.00246890831621,0.000187585578087335,0.173928188875048,0.00107852314970116,0.999139463197216,0.999389621987248,FALSE,"class"
"165","c__Oligoflexia",9.48385687947858,0.328277301247869,0.17072819032882,1.92280665902691,0.0545043355015575,0.821771756117899,FALSE,"class"
"166","c__Opitutae",10.0765834304629,0.0185656627656211,0.11011973692829,0.168595233547561,0.866115029971679,0.999389621987248,FALSE,"class"
"167","c__Papovaviricetes",10.090679313044,0.0222134504081828,0.110074244867859,0.201804249802934,0.840069759043075,0.999389621987248,FALSE,"class"
"168","c__Phycisphaerae",6.00370336247432,0.000187583847544666,0.142248943126933,0.00131870116867778,0.998947829002149,0.999389621987248,FALSE,"class"
"169","c__Planctomycetia",66.8671596983209,0.176499624336128,0.103336003357332,1.70801674732668,0.0876332350310599,0.946438938335446,FALSE,"class"
"170","c__Revtraviricetes",15.2057784542887,0.214373131890069,0.120071141471252,1.78538430853008,0.0741990020886015,0.890388025063218,FALSE,"class"
"171","c__Rubrobacteria",8.24425990712758,-0.122270971379103,0.12292003338384,-0.994719640185014,0.319872639487918,0.999389621987248,FALSE,"class"
"172","c__Saccharomycetes",142.735741010958,-0.395342172103103,0.2977540728194,-1.32774731965763,0.184261595476902,0.999389621987248,FALSE,"class"
"173","c__Sordariomycetes",337.101945097026,-0.0304542747948113,0.349614812415144,-0.0871080792728224,0.930585603468275,0.999389621987248,FALSE,"class"
"174","c__Sphingobacteriia",36.6701074987896,-0.0562968670267295,0.0594374977146607,-0.947160785553115,0.343556854317242,0.999389621987248,FALSE,"class"
"175","c__Spirochaetia",72.9300166881842,0.0446039082468337,0.0511232386994837,0.872478140695028,0.382947588152943,0.999389621987248,FALSE,"class"
"176","c__Stelpaviricetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"177","c__Synergistia",8.0189263265977,-0.0258983878534481,0.123184786005382,-0.210240149723656,0.83348024480498,0.999389621987248,FALSE,"class"
"178","c__Tectiliviricetes",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"179","c__Tepidiformia",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"180","c__Thermococci",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
"181","c__Thermoleophilia",2.01531896120036,-0.0221800438017309,0.244185966464449,-0.0908325901069343,0.927625613920387,0.999389621987248,FALSE,"class"
"182","c__Thermomicrobia",2.00123445415811,0.000187580159777804,0.245204276161433,0.000764995467103147,0.999389621987248,0.999389621987248,FALSE,"class"
