"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"p__Thermotogae",9.02069677968919,-1.270245183188,0.520744036838183,-2.43928896603519,0.0147161953023611,0.225648327969536,FALSE,"phylum"
"p__Actinobacteria",95.9829191112045,-0.776985671075609,0.344629366309814,-2.25455444901673,0.0241613093481754,0.228940245311688,FALSE,"phylum"
"p__Proteobacteria",706.484830607052,-0.674398713737708,0.300643215071984,-2.24318620853038,0.0248848092730096,0.228940245311688,FALSE,"phylum"
"g__Streptomyces",13.7934643237642,-2.45211396799182,0.741526155188956,-3.30684757487343,0.000943522171141172,0.253335702951405,FALSE,"genus"
"f__Brachyspiraceae",2.04708551375032,-3.18193513749607,1.68917772936684,-1.88371838094785,0.0596030787812825,0.256638558281214,FALSE,"family"
"f__Campylobacteraceae",17.6722003070462,-5.27711363880883,2.74298813986394,-1.92385579876061,0.0543726609882456,0.256638558281214,FALSE,"family"
"f__Corynebacteriaceae",27.953432809387,-1.65135993781517,0.88504628430272,-1.86584585134572,0.062062935246319,0.256638558281214,FALSE,"family"
"f__Haloarculaceae",1.8697827759966,-3.93688620565508,2.04471390409439,-1.92539709236179,0.0541796990841886,0.256638558281214,FALSE,"family"
"f__Hominidae",540493333.884637,-0.607969830905997,0.312909578552012,-1.94295691975738,0.052021363684694,0.256638558281214,FALSE,"family"
"f__Nocardioidaceae",1.1608233810937,-2.48299439440736,1.33790213988561,-1.8558864063254,0.0634697509727734,0.256638558281214,FALSE,"family"
"f__Prevotellaceae",2.41736082179527,-3.20505698862451,1.69899676885351,-1.88644089699317,0.0592355658292221,0.256638558281214,FALSE,"family"
"f__Retroviridae",0.969620089322334,-3.41626648923174,1.80625204905516,-1.89135646435322,0.0585767759866568,0.256638558281214,FALSE,"family"
"p__Firmicutes",37.4897152749416,0.987949003130257,0.465650047288089,2.121655541289,0.0338666746178569,0.25964450540357,FALSE,"phylum"
"f__Ardenticatenaceae",15.1250020586653,-2.00574555496243,1.13956910264943,-1.76009120491174,0.0783923437749671,0.270018073002665,FALSE,"family"
"f__Burkholderiaceae",25.3029507553636,-1.31694339267706,0.743503507376522,-1.77126722283253,0.0765162753002186,0.270018073002665,FALSE,"family"
"f__Hymenobacteraceae",1.90813081150182,-3.65170765056871,2.05575651697885,-1.77633276139884,0.0756780864124727,0.270018073002665,FALSE,"family"
"f__Peptostreptococcaceae",2.9754455577598,-5.21248673318115,2.9196359126436,-1.78532080339479,0.074209296359803,0.270018073002665,FALSE,"family"
"f__Clostridiaceae",17.205292558941,-1.21799605446728,0.705593774791049,-1.72620011397914,0.0843114175598342,0.280034351180878,FALSE,"family"
"f__Neisseriaceae",1.38832611173348,-3.59659231186201,2.17706861023142,-1.6520344351847,0.0985275312419861,0.306576373779097,FALSE,"family"
"f__Rhodospirillaceae",1.04435218695362,-3.72411832598744,2.25672483784235,-1.65023146089359,0.0988956044448699,0.306576373779097,FALSE,"family"
"g__Betabaculovirus",2.69952535546955,-2.74581795706509,0.902523466132878,-3.04237846449616,0.00234716579185671,0.315107007556763,FALSE,"genus"
"g__Porphyromonas",4.87526099408923,-7.30167127837233,2.39082258679748,-3.05404144945483,0.00225780883520145,0.315107007556763,FALSE,"genus"
"p__Ascomycota",185.468462830817,0.674924183154489,0.3430718967165,1.96729662095353,0.0491490243906373,0.322979303138474,FALSE,"phylum"
"k__unclassified-p__Firmicutes",41.2778318069996,0.958790127670091,0.485154668946625,1.97625662296898,0.0481257197480355,0.344900991527588,FALSE,"kingdom"
"f__Micrococcaceae",3.28527864101988,-2.11901307002138,1.36169349782879,-1.55616008551126,0.119670030070383,0.359010090211148,FALSE,"family"
"k__Fungi",213.808711610165,0.537217260803639,0.311969739035155,1.72201721380131,0.0850664002713463,0.365785521166789,FALSE,"kingdom"
"k__Pararnavirae",0.763691455507674,-2.5491976147381,1.47062863446443,-1.7334067588494,0.0830233971248541,0.365785521166789,FALSE,"kingdom"
"k__unclassified-c__Naldaviricetes",1.39114993376845,-0.989097176665191,0.56934264385954,-1.7372617128416,0.0823409863476832,0.365785521166789,FALSE,"kingdom"
"k__unclassified-p__Fusobacteria",11.5672055895591,-2.46706852857635,1.39528426851101,-1.76814759848837,0.0770362318360797,0.365785521166789,FALSE,"kingdom"
"p__Fusobacteria",11.0551767126938,-2.53675003636499,1.39413334220122,-1.81958924557365,0.0688215806504971,0.395724088740358,FALSE,"phylum"
"f__Thermotogaceae",10.4517871497679,-0.94042093055334,0.634281796123722,-1.48265477000999,0.138166157419188,0.401545394999516,FALSE,"family"
"f__Dipodascaceae",1.18274380873431,-1.69831800762365,1.17317739597425,-1.44762251084228,0.147722652008569,0.404064901082262,FALSE,"family"
"f__Muribaculaceae",1.40507664447325,-4.26499573367369,2.92292426662206,-1.45915369151956,0.144522811225806,0.404064901082262,FALSE,"family"
"f__Bacteroidaceae",1.09876113741875,-2.58716827727284,1.81525690251758,-1.42523533373414,0.154089185774243,0.409300088108928,FALSE,"family"
"f__Lactobacillaceae",2.51531170056465,-2.28332208769887,1.65323490425563,-1.38112380873481,0.167240896216551,0.409300088108928,FALSE,"family"
"f__Sphingomonadaceae",99.7402359459649,-0.920234196386433,0.665293852565282,-1.38319960847096,0.166603669764668,0.409300088108928,FALSE,"family"
"f__Vicinamibacteraceae",0.84227546460993,-2.31649603154406,1.6627248927644,-1.39319260908683,0.163561554159643,0.409300088108928,FALSE,"family"
"f__Hafniaceae",0.761711905724482,-2.8068274837023,2.06953480482724,-1.35626010113737,0.175016425430081,0.417346860640961,FALSE,"family"
"f__Debaryomycetaceae",9.93755296460322,-0.967146564256544,0.72690926048906,-1.33049146134946,0.183356397810974,0.420438104148946,FALSE,"family"
"f__Flavobacteriaceae",3.70832116440729,-1.32096455638884,0.997370187216687,-1.32444760563296,0.185354433011901,0.420438104148946,FALSE,"family"
"f__Promicromonosporaceae",0.931745156667371,-3.55733665602947,2.73852787576276,-1.29899596331063,0.193945314500113,0.429450339250251,FALSE,"family"
"p__Artverviricota",0.722361877444223,-2.47988670963639,1.46172594915272,-1.69654695606508,0.0897823455208987,0.435190159881452,FALSE,"phylum"
"p__unclassified-c__Naldaviricetes",1.33617272196448,-0.914348147071816,0.546995323479767,-1.67158311565645,0.0946065564959679,0.435190159881452,FALSE,"phylum"
"f__unclassified-g__Ezakiella",2.80574287216394,-3.66644148091081,2.91924479198151,-1.25595547553315,0.209132113423352,0.452308989497016,FALSE,"family"
"f__Streptococcaceae",14.6297394566608,-2.03010184955839,1.69431201130208,-1.19818654180362,0.230844403526454,0.487921125635459,FALSE,"family"
"f__Actinomycetaceae",3.89098383477501,-2.45846052150345,2.20264765191235,-1.11613880657172,0.264362723297888,0.512202776389657,FALSE,"family"
"f__Borreliaceae",1.23487942223143,2.18915434694841,1.93059461751938,1.13392750973338,0.256824956564592,0.512202776389657,FALSE,"family"
"f__Rhizobiaceae",0.701204456625136,-3.14656316264808,2.74308753105712,-1.14708813591357,0.251345196710863,0.512202776389657,FALSE,"family"
"f__Roseobacteraceae",1.00830038512606,-2.52813350589277,2.24234141104228,-1.12745253396433,0.259551198379991,0.512202776389657,FALSE,"family"
"c__Caudoviricetes",3131.46805470838,1.13114667557519,0.448843715228602,2.52013482019925,0.0117309892615293,0.522029022138053,FALSE,"class"
"k__unclassified-p__Chlamydiae",0.512196105820904,-1.36968208384834,0.94928612104209,-1.44285485006854,0.149061364115445,0.534136554747012,FALSE,"kingdom"
"k__unclassified-p__Cyanobacteria",1.36286056077232,-1.25902436065817,0.858179416420931,-1.46708757698825,0.142352233141254,0.534136554747012,FALSE,"kingdom"
"g__Microbacterium",6.44773990262208,-3.16204079329756,1.12822480607722,-2.802669092423,0.00506816406675665,0.544320820769664,FALSE,"genus"
"f__Bifidobacteriaceae",1.44175490127353,-1.64408005375992,1.55330288220929,-1.05844138486469,0.289854260329971,0.55013155532015,FALSE,"family"
"f__Halorubraceae",0.830765513410872,-2.39845518290322,2.33337392667602,-1.02789148172231,0.304000876950075,0.56544163112714,FALSE,"family"
"f__Peptoniphilaceae",0.674480329832058,-2.96706154909917,2.92675976105175,-1.01377010459954,0.31069246351148,0.566556845226816,FALSE,"family"
"f__Mycosphaerellaceae",38.4198205823899,-0.566429187000522,0.567578399160959,-0.997975236263157,0.318291366958686,0.569251867829958,FALSE,"family"
"p__Cyanobacteria",1.32742576471452,-1.24592080993838,0.841590964611113,-1.48043510723063,0.138757166718544,0.580257242641183,FALSE,"phylum"
"g__Mycolicibacterium",2.51550490447246,-2.50430708609605,0.925581828775659,-2.70565714260909,0.00681693869246671,0.610116012975771,FALSE,"genus"
"f__Candidatus",0.838735694713458,-2.11789052946316,2.34750705063693,-0.902187079220285,0.366957497319795,0.620491768195291,FALSE,"family"
"f__Pichiaceae",57.4203715547535,0.516664951318611,0.558995861171264,0.924273303627048,0.355344038531652,0.620491768195291,FALSE,"family"
"f__Thioalkalibacteraceae",0.697234256945068,-2.49969326642371,2.74918639354154,-0.909248377009304,0.363219033326932,0.620491768195291,FALSE,"family"
"f__Saccharomycetaceae",4.6885868882684,-0.769017544700409,0.889619663621481,-0.864434067891302,0.387349484802229,0.643276822975131,FALSE,"family"
"p__Chlamydiae",0.486485679955324,-1.25019819324116,0.907867798090424,-1.37707075399169,0.168490373715793,0.645879765910538,FALSE,"phylum"
"f__Alcaligenaceae",13.8859999060918,-0.557197139939211,0.670726103972273,-0.830737221407212,0.406122094343943,0.660999310705423,FALSE,"family"
"f__Sordariaceae",126.512048496334,0.529775941126733,0.656020147885916,0.807560473308608,0.419343648727097,0.660999310705423,FALSE,"family"
"f__Weeksellaceae",0.772628641454276,-1.29081399100636,1.57736960122254,-0.818333249230816,0.413166925481675,0.660999310705423,FALSE,"family"
"f__Thermaceae",1.03372265088004,1.41015781583557,1.87659491275096,0.751444974221089,0.452384904803134,0.693314484224043,FALSE,"family"
"f__Yersiniaceae",5.37229710961554,-0.88473476107291,1.18357291471508,-0.747511834778585,0.45475466169534,0.693314484224043,FALSE,"family"
"k__unclassified-p__Verrucomicrobia",0.377312336186013,-1.77355499537342,1.4239911534354,-1.24548175112935,0.212954719407536,0.704388687271082,FALSE,"kingdom"
"f__Babesiidae",1.97975409201158,0.676096122148642,0.942166875530297,0.717596998693148,0.473005808749607,0.70950871312441,FALSE,"family"
"f__Ustilaginaceae",36.0073120701446,-0.366376538033231,0.533008451275066,-0.687374725779268,0.491846620287184,0.726059296614414,FALSE,"family"
"f__Halomonadaceae",0.854570732428655,-1.87654696666456,2.8722377020145,-0.653339716747123,0.513537293045759,0.746233878957119,FALSE,"family"
"k__unclassified-p__Bacteroidetes",17.4414160302494,-0.793912813101207,0.682354246323998,-1.16349069032427,0.244630473130574,0.751365024615335,FALSE,"kingdom"
"f__Trueperaceae",0.55024890231882,-1.83148213683208,2.93383774534986,-0.62426156311302,0.532455822237748,0.761821407201701,FALSE,"family"
"o__Lefavirales",1.31103238061,-1.37361527227482,0.586687717317451,-2.34130565840971,0.0192164275321961,0.763852994404793,FALSE,"order"
"o__Piroplasmida",5.24877426241881,1.63419144467227,0.682297633007204,2.39512987531501,0.0166144790446044,0.763852994404793,FALSE,"order"
"f__Pasteurellaceae",4.96937016627967,-0.830763130927575,1.38574879078868,-0.599504857193314,0.548836272039066,0.773360201509593,FALSE,"family"
"f__Nostocaceae",0.646470974351553,-0.998663880740451,1.72550485475688,-0.578766195868607,0.562746943374652,0.781126354236457,FALSE,"family"
"p__Verrucomicrobia",0.351237494365568,-1.68583855768868,1.4034186611578,-1.20123709648972,0.229659243236086,0.812640399143074,FALSE,"phylum"
"f__Fusobacteriaceae",15.5048827651471,-0.910018274152257,1.7211928324795,-0.528713725144505,0.597004054547407,0.816229260818014,FALSE,"family"
"f__Leptotrichiaceae",0.621243094733467,-1.1426301043638,2.21277244516048,-0.516379398551728,0.605589451574656,0.816229260818014,FALSE,"family"
"f__Cellulomonadaceae",0.538843674377336,-0.631567399455905,1.51319823607252,-0.417372545381183,0.676405933139305,0.818540247344242,FALSE,"family"
"f__Chaetomiaceae",25.0955146942998,0.364067982039596,0.837017031108799,0.434958870021216,0.663592282140363,0.818540247344242,FALSE,"family"
"f__Erythrobacteraceae",0.630133506866851,-0.599190190860749,1.28072461174822,-0.467852483948786,0.639890085191679,0.818540247344242,FALSE,"family"
"f__Helicobacteraceae",0.694157149857821,-1.04110589231324,2.29547266777005,-0.453547501101214,0.650154546971916,0.818540247344242,FALSE,"family"
"f__Planococcaceae",0.539190640040289,-1.10437075042314,2.65740947242191,-0.415581701609815,0.677716118768888,0.818540247344242,FALSE,"family"
"f__Pseudomonadaceae",84.9705928729936,-0.286329398354386,0.685244875482678,-0.417849747730983,0.676056975785613,0.818540247344242,FALSE,"family"
"f__Rhodanobacteraceae",0.603665672419598,-0.787316369116775,1.70968948085462,-0.46050255203256,0.645155540116987,0.818540247344242,FALSE,"family"
"f__Sinobacteraceae",6.87506591609293,-0.544938218142427,1.12806118469408,-0.483075054382099,0.629042445674011,0.818540247344242,FALSE,"family"
"f__Nocardiaceae",24.3152567223168,-0.402962829871871,0.999921773902412,-0.402994354547577,0.686952377593748,0.819058604054084,FALSE,"family"
"f__Stellaceae",0.569579803121466,0.707202671364815,1.97793769240104,0.357545474805294,0.720683488932432,0.839019445978994,FALSE,"family"
"f__Xanthomonadaceae",2.76954811120389,0.484550865929523,1.36057020609791,0.356138083693019,0.721737157831392,0.839019445978994,FALSE,"family"
"c__Actinomycetia",86.1160286988631,-0.762945788557744,0.348122340394158,-2.19160249150889,0.028408221890745,0.842777249425436,FALSE,"class"
"f__Enterobacteriaceae",5.52338699423541,-0.517608611033852,1.54570793353816,-0.334868314901532,0.737724424563268,0.847016931905974,FALSE,"family"
"f__Bacillaceae",10.9670041029631,-0.212646226674956,0.676522899663586,-0.314322289431293,0.753276270960008,0.850873044954864,FALSE,"family"
"f__Theileriidae",4.06412995016415,0.393023210606076,1.28315956067141,0.306293326763218,0.759381319690901,0.850873044954864,FALSE,"family"
"c__Cytophagia",0.994225440173592,-2.22541816561461,1.18012488876744,-1.8857480142961,0.0593289193203235,0.880045636584798,FALSE,"class"
"c__Deltaproteobacteria",2.49659542568351,1.83320437917017,0.910490144564268,2.01342583455144,0.0440698500336028,0.880045636584798,FALSE,"class"
"c__Revtraviricetes",0.862986892560932,-2.88927573706461,1.52595233727258,-1.89342462833982,0.0583014227839352,0.880045636584798,FALSE,"class"
"f__Comamonadaceae",29.7971139580326,-0.288592171803467,1.25237000168359,-0.230436828904801,0.817752345745327,0.884329914747164,FALSE,"family"
"f__Pseudonocardiaceae",31.7539977040086,-0.170563926057126,0.740238941021019,-0.230417391743625,0.817767448045765,0.884329914747164,FALSE,"family"
"f__unclassified-g__Gemella",1.58495756539141,-0.467226571425597,1.97983415339202,-0.235992782842494,0.813438270488591,0.884329914747164,FALSE,"family"
"p__Apicomplexa",28.122053439884,0.349513446393717,0.358323344901401,0.975413551383016,0.329355164344661,0.891196327050259,FALSE,"phylum"
"p__Bacteroidetes",17.4529422866179,-0.655308788689964,0.671293346682433,-0.976188415881871,0.328971102712468,0.891196327050259,FALSE,"phylum"
"p__Chordata",496842358.875467,0.251555369343506,0.251899924404997,0.998632174811864,0.317972907880448,0.891196327050259,FALSE,"phylum"
"p__Crenarchaeota",0.463703808282219,1.62559726056569,1.65933408903862,0.979668453329685,0.327249802972351,0.891196327050259,FALSE,"phylum"
"k__Metazoa",517701545.609874,0.260360411887043,0.264731455522789,0.983488763633642,0.325366942791416,0.899552406923699,FALSE,"kingdom"
"k__unclassified-p__Crenarchaeota",0.46604343604318,1.60095151811238,1.65960884637591,0.964655931792833,0.334717174669283,0.899552406923699,FALSE,"kingdom"
"f__Conexivisphaeraceae",3.52764517355047,-0.165136445252322,0.872124832303991,-0.189349550816095,0.849818861739881,0.908427059101252,FALSE,"family"
"p__Thaumarchaeota",2.9164115417117,0.594835911968369,0.658625710359386,0.903147117721522,0.36644781986502,0.936477761877274,FALSE,"phylum"
"f__Aspergillaceae",16.2129404778962,-0.0743141721857926,0.588565785505114,-0.126263153611648,0.899523621941436,0.950632918642654,FALSE,"family"
"p__Acidobacteria",0.387042817998336,-1.02863078711282,1.29223037435182,-0.796011924444027,0.426025104527549,0.952324400275394,FALSE,"phylum"
"p__Deinococcus",0.859576876839475,1.14401880238763,1.46435468114734,0.781244337260748,0.434658801257991,0.952324400275394,FALSE,"phylum"
"p__Spirochaetes",3.23278382824076,0.922373539857289,1.18089855737037,0.781077709088944,0.434756791430071,0.952324400275394,FALSE,"phylum"
"o__Ortervirales",1.11182616885686,-3.44166216213029,1.59144894188115,-2.16259665739707,0.0305722155814151,0.954886937858391,FALSE,"order"
"o__Parachlamydiales",0.683048076873869,-2.237878025365,1.06741003409769,-2.09654954879334,0.0360334693531468,0.954886937858391,FALSE,"order"
"k__unclassified-p__Acidobacteria",0.420336685695423,-1.16323882117664,1.32168117844223,-0.880120591977915,0.378793984975586,0.958125961997071,FALSE,"kingdom"
"k__unclassified-p__Apicomplexa",28.8461958694845,0.278200334898902,0.366491804912904,0.759090192930824,0.447798605315982,0.96363855341171,FALSE,"kingdom"
"k__unclassified-p__Spirochaetes",3.29162830653605,0.902310657828672,1.18973574620118,0.758412664921391,0.448203978331028,0.96363855341171,FALSE,"kingdom"
"k__unclassified-p__Thaumarchaeota",2.92250231284468,0.540022523694615,0.668601954764889,0.807689118833808,0.419269569104419,0.96363855341171,FALSE,"kingdom"
"f__Maricaulaceae",0.774625643318349,0.228512841422899,2.93633931047449,0.077822355409591,0.937969363330667,0.964990202321076,FALSE,"family"
"f__Plasmodiidae",34.4424388348894,0.0404546904799863,0.578381591056528,0.0699446370796273,0.944237724851806,0.964990202321076,FALSE,"family"
"f__Rhodobacteraceae",0.547880803568148,0.161150101419289,1.93969935721539,0.0830799375273467,0.93378797822263,0.964990202321076,FALSE,"family"
"f__Desulfobacteraceae",0.586468333027163,0.0613482552677384,2.27072177381768,0.0270170727101436,0.978446116948067,0.989081400827938,FALSE,"family"
"f__Oxalobacteraceae",3.22983609124871,-0.0236606165036425,1.95952510104005,-0.0120746687506499,0.990366042328975,0.990366042328975,FALSE,"family"
"k__unclassified-p__Deinococcus",0.880366808114331,1.03163949397765,1.47494635447827,0.699442044685467,0.484275819966477,0.991612393264691,FALSE,"kingdom"
"k__Bamfordvirae",0.244663125243751,0.139575350036113,1.33925357267782,0.104218762513386,0.916995744719205,0.992705033588359,FALSE,"kingdom"
"k__Orthornavirae",0.0195352387327031,0.312159049864477,2.93822276565565,0.106240770275572,0.915391323971673,0.992705033588359,FALSE,"kingdom"
"k__Shotokuvirae",0.356588361104676,-0.693537526150609,2.03990162687124,-0.339985770399303,0.733867243900787,0.992705033588359,FALSE,"kingdom"
"k__unclassified-c__Candidatus",0.0530095584301662,-0.329332107278208,2.93790367926622,-0.112097653031451,0.910745978307764,0.992705033588359,FALSE,"kingdom"
"k__unclassified-f__Candidatus",0.0353055773788797,0.258914399881364,2.93828541247025,0.0881175119280504,0.929783278014102,0.992705033588359,FALSE,"kingdom"
"k__unclassified-g__Pandoravirus",0.0720605858218547,0.660440886856754,2.93786390600223,0.224803090948983,0.822132461392459,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Armatimonadetes",0.045039600040726,0.0752047011455693,2.90095875973842,0.0259240848885251,0.979317889537357,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Candidatus",0.18710466767683,0.0743588097360165,1.74479526930346,0.0426174984791776,0.96600644639339,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Chlorobi",0.0405221647681062,-0.126191846375085,2.93812154111535,-0.0429498387351193,0.965741519812858,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Coprothermobacterota",0.0322773953131236,-0.225791293514683,2.93803852532065,-0.0768510322682174,0.938742052865685,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Deferribacteres",0.0732767775415848,0.421173996439321,2.93790157844439,0.143358783537715,0.886006832655684,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Elusimicrobia",0.042312243430542,0.0602937821240965,2.93809857394941,0.0205213612159544,0.983627471877469,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Euryarchaeota",2.06942400500683,0.030010365254766,1.1165693032834,0.0268772974203366,0.978557601009227,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Fibrobacteres",0.0161386976565618,-0.0268640531602969,2.93820607493891,-0.00914301191786059,0.992705033588359,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Gemmatimonadetes",0.277540686925498,-1.10328098510478,1.82217664706736,-0.605474220559471,0.544863948641344,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Ignavibacteriae",0.0080693488282809,0.0724523309570291,2.93829640365472,0.0246579381395666,0.980327805372079,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Nitrospirae",0.116854424381479,0.122930304176476,2.9376436651758,0.0418465675853573,0.966621011938834,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Planctomycetes",2.97886279483261,-0.144582138259818,0.621817066963066,-0.232515551504485,0.81613760981297,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Synergistetes",0.0161386976565618,-0.0268640531602969,2.93820607493891,-0.00914301191786059,0.992705033588359,0.992705033588359,FALSE,"kingdom"
"k__unclassified-p__Tenericutes",0.177157448057843,-1.05808014569213,2.93587577142386,-0.360396770187241,0.718550441599831,0.992705033588359,FALSE,"kingdom"
"k__unclassified-s__Halovirus HHTV-2",0.052763295750704,0.159610167609318,2.93818890590877,0.0543226363997012,0.95667811493932,0.992705033588359,FALSE,"kingdom"
"k__unclassified-s__Mollivirus sibericum",0.424251659052978,0.127509448860494,1.30749859773937,0.0975216715956371,0.922312124811433,0.992705033588359,FALSE,"kingdom"
"p__Armatimonadetes",0.0450335545750692,0.125096671290991,2.8914404911001,0.0432644806891378,0.965490705000347,0.993766783286292,FALSE,"phylum"
"p__Basidiomycota",25.9244001235815,-0.00831994837449756,0.429958415625886,-0.0193505885037424,0.984561427679838,0.993766783286292,FALSE,"phylum"
"p__Candidatus",0.171734081722278,0.147577966080972,1.73013037414835,0.085298754525142,0.932023881670841,0.993766783286292,FALSE,"phylum"
"p__Chlorobi",0.0342926557232941,-0.0779823832692924,2.93799974789526,-0.0265426786796554,0.978824492914472,0.993766783286292,FALSE,"phylum"
"p__Coprothermobacterota",0.0272623929693793,-0.176314951388262,2.93787535664458,-0.0600144424063095,0.95214413204717,0.993766783286292,FALSE,"phylum"
"p__Cossaviricota",0.319702944467863,-0.62053576555757,2.08225031580543,-0.298012088579053,0.765693937250744,0.993766783286292,FALSE,"phylum"
"p__Deferribacteres",0.0671560722096431,0.471001817893978,2.93778642818857,0.160325411464439,0.872624742334114,0.993766783286292,FALSE,"phylum"
"p__Elusimicrobia",0.0410524473789491,0.110109747664966,2.9379925622991,0.0374778850967547,0.970103972892975,0.993766783286292,FALSE,"phylum"
"p__Euryarchaeota",1.89655661253258,0.0890891325239419,1.09529222049942,0.0813382318038562,0.935172970119398,0.993766783286292,FALSE,"phylum"
"p__Fibrobacteres",0.0136311964846896,0.022953199948315,2.93810056901554,0.00781225809299164,0.993766783286292,0.993766783286292,FALSE,"phylum"
"p__Gemmatimonadetes",0.256201957661766,-0.998730239139819,1.82431050222836,-0.547456278917373,0.584065299754108,0.993766783286292,FALSE,"phylum"
"p__Ignavibacteriae",0.00681559824234482,0.122284901166501,2.93818311797286,0.0416192239409737,0.966802248030034,0.993766783286292,FALSE,"phylum"
